"","type","id","totalLengths","suitLengths","mean","up","low","sd","samplingType","serviceLife","cost","performance"
"1","snags","snags-0",130.556532,43.227827,40.681036063457,59.6267746495332,21.7352974773807,9.47286929303813,"linear",25,24294,0.29
"2","snags","snags-1",51.777019,9.666074,18.6636858918643,28.8289679312952,8.49840385243333,5.08264101971548,"linear",25,24294,0.29
"3","snags","snags-2",53.4159000000001,11.303187,22.2958485317776,45.7080922869194,-1.11639522336416,11.7061218775709,"linear",25,24294,0.29
"4","snags","snags-3",130.556532,43.227827,40.681036063457,59.6267746495332,21.7352974773807,9.47286929303813,"linear",25,12147,0.29
"5","poles","poles-experimental",18.754238,6.254219,15.1782874510721,31.6154845947765,-1.25890969263229,8.2185985718522,"linear",25,16815,0.12
"6","poles","poles-experimental-half",15.754238,3.254219,8.07310445454463,16.949064000485,-0.802855091395706,4.43797977297017,"linear",25,16815,0.12
"7","poles","poles-steel",18.754238,6.254219,15.1782874510721,31.6154845947765,-1.25890969263229,8.2185985718522,"linear",50,2243.32,0.12
"8","poles","poles-steel-half",15.754238,3.254219,8.07310445454463,16.949064000485,-0.802855091395706,4.43797977297017,"linear",50,4486.64,0.12
"9","snags","snags-0",130.556532,43.227827,40.2725900758486,53.8004237298771,26.7447564218201,6.76391682701425,"linear-less-than-ten",25,24294,0.29
"10","snags","snags-1",51.777019,9.666074,18.5194362865722,26.7778290145924,10.261043558552,4.1291963640101,"linear-less-than-ten",25,24294,0.29
"11","snags","snags-2",53.4159000000001,11.303187,26.9584336136781,50.1232319700133,3.79363525734296,11.5823991781676,"linear-less-than-ten",25,24294,0.29
"12","snags","snags-3",130.556532,43.227827,40.2725900758486,53.8004237298771,26.7447564218201,6.76391682701425,"linear-less-than-ten",25,12147,0.29
"13","poles","poles-experimental",18.754238,6.254219,8.28873331435943,16.6018732141608,-0.0244065854419446,4.15656994990069,"linear-less-than-ten",25,16815,0.12
"14","poles","poles-experimental-half",15.754238,3.254219,3.91043017089094,8.1278637190828,-0.307003377300906,2.10871677409593,"linear-less-than-ten",25,16815,0.12
"15","poles","poles-steel",18.754238,6.254219,8.28873331435943,16.6018732141608,-0.0244065854419446,4.15656994990069,"linear-less-than-ten",50,2243.32,0.12
"16","poles","poles-steel-half",15.754238,3.254219,3.91043017089094,8.1278637190828,-0.307003377300906,2.10871677409593,"linear-less-than-ten",50,4486.64,0.12
"17","snags","snags-0",130.556532,43.227827,42.6489155878775,57.074119583694,28.2237115920609,7.21260199790826,"geometric-progression-1.5",25,24294,0.29
"18","snags","snags-1",51.777019,9.666074,16.5799760930631,26.1328929334174,7.02705925270894,4.7764584201771,"geometric-progression-1.5",25,24294,0.29
"19","snags","snags-2",53.4159000000001,11.303187,20.3024233180624,39.4714220782527,1.13342455787207,9.58449938009517,"geometric-progression-1.5",25,24294,0.29
"20","snags","snags-3",130.556532,43.227827,42.6489155878775,57.074119583694,28.2237115920609,7.21260199790826,"geometric-progression-1.5",25,12147,0.29
"21","poles","poles-experimental",18.754238,6.254219,8.78807091317119,24.6871301633729,-7.11098833703051,7.94952962510085,"geometric-progression-1.5",25,16815,0.12
"22","poles","poles-experimental-half",15.754238,3.254219,4.21618640214002,12.3794387659366,-3.9470659616566,4.08162618189831,"geometric-progression-1.5",25,16815,0.12
"23","poles","poles-steel",18.754238,6.254219,8.78807091317119,24.6871301633729,-7.11098833703051,7.94952962510085,"geometric-progression-1.5",50,2243.32,0.12
"24","poles","poles-steel-half",15.754238,3.254219,4.21618640214002,12.3794387659366,-3.9470659616566,4.08162618189831,"geometric-progression-1.5",50,4486.64,0.12
"25","snags","snags-0",130.556532,43.227827,43.9351273678693,60.2169091703429,27.6533455653958,8.14089090123678,"geometric-progression-double",25,24294,0.29
"26","snags","snags-1",51.777019,9.666074,16.4027209249889,24.800599374798,8.00484247517985,4.19893922490454,"geometric-progression-double",25,24294,0.29
"27","snags","snags-2",53.4159000000001,11.303187,17.6791578185695,30.5919516519396,4.76636398519938,6.45639691668505,"geometric-progression-double",25,24294,0.29
"28","snags","snags-3",130.556532,43.227827,43.9351273678693,60.2169091703429,27.6533455653958,8.14089090123678,"geometric-progression-double",25,12147,0.29
"29","poles","poles-experimental",18.754238,6.254219,8.72197432190327,23.8885164484301,-6.44456780462357,7.58327106326342,"geometric-progression-double",25,16815,0.12
"30","poles","poles-experimental-half",15.754238,3.254219,4.23529079660257,11.9807326505812,-3.5101510573761,3.87272092698934,"geometric-progression-double",25,16815,0.12
"31","poles","poles-steel",18.754238,6.254219,8.72197432190327,23.8885164484301,-6.44456780462357,7.58327106326342,"geometric-progression-double",50,2243.32,0.12
"32","poles","poles-steel-half",15.754238,3.254219,4.23529079660257,11.9807326505812,-3.5101510573761,3.87272092698934,"geometric-progression-double",50,4486.64,0.12
"33","snags","snags-0",130.556532,43.227827,37.0236516983347,48.56021353968,25.4870898569895,5.76828092067263,"linear-less-than-five",25,24294,0.29
"34","snags","snags-1",51.777019,9.666074,18.3081829148822,27.7392075953367,8.87715823442767,4.71551234022727,"linear-less-than-five",25,24294,0.29
"35","snags","snags-2",53.4159000000001,11.303187,16.4598262126756,20.2155679400248,12.7040844853264,1.8778708636746,"linear-less-than-five",25,24294,0.29
"36","snags","snags-3",130.556532,43.227827,37.0236516983347,48.56021353968,25.4870898569895,5.76828092067263,"linear-less-than-five",25,12147,0.29
"37","poles","poles-experimental",18.754238,6.254219,4.63054588607112,7.14496778140853,2.1161239907337,1.25721094766871,"linear-less-than-five",25,16815,0.12
"38","poles","poles-experimental-half",15.754238,3.254219,2.12369805123236,3.49779491878471,0.749601183680005,0.687048433776177,"linear-less-than-five",25,16815,0.12
"39","poles","poles-steel",18.754238,6.254219,4.63054588607112,7.14496778140853,2.1161239907337,1.25721094766871,"linear-less-than-five",50,2243.32,0.12
"40","poles","poles-steel-half",15.754238,3.254219,2.12369805123236,3.49779491878471,0.749601183680005,0.687048433776177,"linear-less-than-five",50,4486.64,0.12
